		Verification of vowel phonemes by Linguist																																																																																																																																																																																																																																				
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75		76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225			
Speaker	Gender	i			ĩ			i			ĩ			i			ĩ			i			ĩ			i			ĩ			e			ẽ			e			ẽ			e			ẽ			ɛ					ɛ̃			ɛ				ɛ̃			ɛ			ɛ̃			ɛ			ɛ̃				ɛ			ɛ̃			ɛ			ɛ̃			ɨ			ə̃			ɨ			ə̃			ə			 ɨ̃			ə			ə̃			ə			 ɨ̃			ə			ə̃			a			ã			a			ã			a			ã			a			ã			a			ã			u			ũ			u			ũ			u			ũ			o			õ			o			õ			o			õ			o			ɔ̃			o			ɔ̃			ɔ			ɔ̃			ɔ			ɔ̃			ɔ			ɔ̃			ɔ			ɔ̃					
		[bi:]			[bĩ:]			[ʃikta]			[ʃĩkta]			[meli:]			[melĩ:]			[ʃi:]			[ʃĩ:]			[ti:]			[tĩ:]			[ke:s]			[kẽ:s]			[mʰəd͡ʒe]			[mʰəd͡ʒɛ̃]			[he]			[hɛ̃:]			[bərɛ]					[bərɛ̃] 			[kʱalɛ]				[kʱalɛ̃] 			[fəɭɛ]			[fəɭɛ̃]			[kɛdɛ]			kɛdɛ̃				[dɛʋ]			[dɛ̃ʋ]			(b)/ʋɛtat͡ʃi			[ʋɛ̃t]			[ãvɨj]			[ãvə̃j]			[tɨj]			[tʱə̃j]			[gəʋɔ]			[gɨ̃ʋ]			[həj]			[hə̃j]			[ʋə:j]			[vɨ̃:j]			[səvaj]			[sə̃vəj]			[ʋa:ʈ]			[ʋãʈ]			[d͡za:w]			[d͡zã:w]			[ba:j]			[bã:j]			[maʋ]			[mã:ʋ]			[taka]			[tãŋkã]			[su:ʈ]			[sũ:ʈʱ]			[ku:j]			[kũ:j]			[kʱu:ʈ]			[kʱũ:ʈ]			[poti]			[põt]			[poj]			[põj]			[og]			[õk]			[bʱoʋ]			bʱɔ̃ʋ			[rop]			[rɔ̃pɔ]			[sɔpɔ]			[sɔ̃pɔ]			[gɛlɔ]			[gɛlɔ̃]			[kɔkɔ]			[kɔ̃kɔ]			[gʱɔgɔ]			[gʱɔ̃gɔ]			count		
Speaker 94	f	1	1		1			1			1			1			1			1			1			1			1			1			1			1			1			1			1			1					1			1				1			1			1			1			1				1			1				1		1			1			1			1			1			1			1			1			1			1			1			1			1			1	1		1			1			1			1			1			1			1			1			1			1			1			1			1			1	1		1			1			1			1			1			1			1			1			1			1			1			1		1	1		1	1			1			1			1			1			1	1		80		
Speaker 95	m	1			1			1			1			1			1	1		1			1			1			1			1			1	1		1	1		1	1	1	1			1			1					1			1				1			1	1	1	1			1			1	1			1			1			1	1	1	1			1	1		1	1		1	1		1	1		1			1	1								1			1			1			1	1	1	1			1			1			1			1	1		1	1		1		1	1			1			1			1			1	1		1			1	1	1	1			1	1		1			1	1		1	1		1	1	1	1	1		1	1		1	1		1	1		1	1	1	1	1		1		1	1			1			1	1	1	1	1		1			1	1		1	1		113		
Speaker 101	f	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1		1	1	1	1	1	1	1	1	1			1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	220		
Speaker 99	m	1	1	1	i	1	1	1	1	1	1	i	1	1	1	1	i	i	i	1	1	1	i	i	i	1	1	1	i	i	i	1	1	1	ɛ	ɛ	ɛ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	ɛ	ɛ	ɛ	1	1	1	ɛ	ɛ	ɛ	1	1		ɨ	ɨ	o	1	1	1	1	1	1	ɵ	ɵ	ɵ	ə̃	ə̃	ə̃	ɨ	ɨ	ə	ɨ	1	1	1	1	ɨ	ɨ	ɨ̃	ɨ̃	1	1	1	ə	1	ə	1	1	1	a	a	a	1	1	1	1	1	1	1	1	1	a	a	1	ã	ã	ã	1	1	1	1	1	1	a	a	1	1	1	1	u	1	u	1	1	1	u	u	u	1	1	1	u	u	u	1	1	1	ɔ̃	ɔ̃	ɔ̃	1	1	1	o	o	o	1	1	1	o	1	1	1	1	1	ɔ	ɔ	ɔ	1	1	1	ɔ	ɔ	ɔ	1	1	1	ɔ	ɔ	ɔ	1	1	1	ɔ	ɔ	ɔ	1	1	1	ɔ	1	1	1	1	1	1	ɔ	1	221		
Speaker 105	m	1	1	1	i	i	i	1	1	1	i	1	i	1	1	1	i	i	i	1	1	1	i	i	i	1	1	1	i	i	1	1	1	1	e	ɛ	e	1	1	1	e	e	e	1	1	1	ɛ	ɛ	e	1	1	1	1	1	ɛ	ɛ	ɛ	1	1	1	1	1	1	1	1	1	1	ɛ	ɛ	ɛ	1	1	1	1	ɛ	ɛ		e	e	e	ɛ	1	1	1	1	1	ɛ	ɛ	ɛ	1	1	1	ɨ	ɨ	ã	ə̃	ə̃	ə̃	1	1	1	ɵ	ɵ	ɵ	ə	ə	ə	1	1	1	ə	ə	1	1	1	1	ə	ə̃	ə̃	1	1	1	1	ə	ə	1	1	1	1	a	a	1	1	1	1	1	1	1	1	1	1	a	a	ã	1	ã	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	u	1	1	1	1	u	u	u	1	1	1	o	ɔ	o	1	1	1	1	1	1	1	1	1	o	ɔ̃	ɔ̃	1	ɔ	ɔ	1	1	1	1	1	1	ɔ	ɔ	ɔ	1	1	1	ɔ	ɔ	1	1	1	1	ɔ	ɔ	1	1	1	1	ɔ	1	ɔ	1	1	1	1	ɔ	1	225		
Speaker 107	f	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	i	1	1	1	1	1	ɛ̃	ɛ̃	ɛ̃	1	1	1	ɛ	ɛ	1	1	1	1	ɛ	1	1	1	1	1			1	1	1	1	1	1	1	1	1	1	1	1	1	ɛ	ɛ	ɛ	1	1	1	1	1	1		e	e	e	1	1	1	1	1	1	1	1	1	ə	ə	ə	1	1	1	ə	ə	ə	1	1	1	ɵ	ɵ	ɵ	ə̃	ə̃	ə̃	1	1	1	1	1	1	1	1	1	ə	ə	ə	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ũ	ũ	ũ	1	1	1	1	1	1	u	u	u	1	1	1	ɔ̃	ɔ̃	ɔ̃	1	1	1	o	o	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ɔ	ɔ	1	1	1	1	1	ɔ	ɔ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	223		
