subj,gender,vowel,f1,f2,f3
Speaker105,m,i,281.156477081869,2157.88903297221,2588.40596419695
Speaker105,m,i,280.351751910952,2166.53795303477,2592.59009697722
Speaker105,m,i,270.94371438315,2245.81398667854,2586.29315339433
Speaker105,m,ĩ,285.712080834962,2093.98957614177,2543.55287364424
Speaker105,m,ĩ,285.774602586583,2047.68443816879,2507.6562552987
Speaker105,m,ĩ,280.0805054953,1956.97198462339,2479.48994018587
Speaker105,m,i,367.032928166992,2047.63026655233,2580.00103628398
Speaker105,m,i,371.05916823945,2040.54631936608,2585.40637460252
Speaker105,m,i,353.184840900534,2026.18745086887,2577.21948535525
Speaker105,m,ĩ,339.308453282523,2179.88443000491,2623.32187889845
Speaker105,m,ĩ,345.95739520047,2293.20709959106,2587.72302570194
Speaker105,m,ĩ,336.781126277702,2200.83008448613,2689.8225417239
Speaker105,m,i,329.514533052456,1914.01125434025,2470.55129633405
Speaker105,m,i,348.902281573188,1968.16339056956,2488.81353782343
Speaker105,m,i,305.425555396573,1969.15563876935,2468.7280186201
Speaker105,m,ĩ,301.837852163208,2134.56851816803,2627.36387642206
Speaker105,m,ĩ,275.599952081056,2205.31924845198,2560.16051326545
Speaker105,m,ĩ,280.806170210738,2222.86787310286,2678.70832530297
Speaker105,m,i,380.761611557738,2042.51630438373,2797.22606385818
Speaker105,m,i,387.898227741193,2109.38386179542,2662.77050873175
Speaker105,m,i,408.206474967611,1974.74363021944,2641.83861846691
Speaker105,m,ĩ,370.592105738635,2081.7659748466,2844.13205859337
Speaker105,m,ĩ,366.236001377735,2082.12799456224,2955.38379169784
Speaker105,m,ĩ,330.35490568078,2255.37774430606,2987.8384297076
Speaker105,m,i,358.674816496168,2331.74617447736,2453.44852097861
Speaker105,m,i,356.445039244179,2172.03514602144,2527.87588519117
Speaker105,m,i,349.1935362696,2356.79426350784,2957.75623947874
Speaker105,m,ĩ,320.365291333116,2376.27906502872,2794.85107967302
Speaker105,m,ĩ,335.885358487843,2077.69254314855,2447.49927655997
Speaker105,m,ĩ,409.939165804861,2508.09984110196,3021.84518549248
Speaker105,m,e,375.91026843867,2039.75449483312,2500.11301362188
Speaker105,m,e,435.581520078879,1944.95076822125,2545.13941988257
Speaker105,m,e,444.24719831224,1824.90217268982,2547.031622573
Speaker105,m,ẽ,444.566845497561,1914.07313651059,2515.58820949121
Speaker105,m,ẽ,459.241310011526,1844.66517257111,2445.63746648939
Speaker105,m,ẽ,421.418887927928,1953.62699369195,2514.93301869997
Speaker105,m,e,444.638260095415,1845.61073375627,2572.34194176628
Speaker105,m,e,450.846848993034,1830.3883809224,2523.41905888845
Speaker105,m,e,460.517529893027,1841.43741741864,2522.56133856195
Speaker105,m,ẽ,434.528485275484,1733.45481013445,2719.16115464302
Speaker105,m,ẽ,412.513524989426,1807.0354642338,2705.16354650054
Speaker105,m,ẽ,425.407451138013,1794.02480637366,2474.76084842093
Speaker105,m,e,455.389663920119,1860.73656800674,2494.85743227322
Speaker105,m,e,431.928251837034,1876.5416934707,2456.11206832418
Speaker105,m,e,456.012633337879,1901.85346840898,2483.20748261071
Speaker105,m,ẽ,497.222321648307,1774.1946439865,2454.95672264937
Speaker105,m,ẽ,509.457686127516,1757.59219176733,2423.42248969745
Speaker105,m,ẽ,473.153351032072,1855.13282172683,2501.69492005023
Speaker105,m,ɛ,513.041504275888,1660.87034026196,2428.1405141081
Speaker105,m,ɛ,487.760315403825,1695.01816325554,2439.42397222434
Speaker105,m,ɛ,493.696354258187,1725.02182553055,2422.4734111405
Speaker105,m,ɛ,476.487466279396,1729.75559676873,2378.5374711595
Speaker105,m,ɛ,494.5370700553,1685.49753134638,2426.08191359137
Speaker105,m,ɛ̃,528.721151279708,1723.30483363278,2404.24692048072
Speaker105,m,ɛ̃,534.967894678734,1699.9131587531,2454.93479525937
Speaker105,m,ɛ̃,548.582863506733,1652.76407003843,2416.49263682019
Speaker105,m,ɛ,523.269400780523,1696.44412836823,2498.09070840136
Speaker105,m,ɛ,500.934647928494,1713.66318394633,2480.51287905325
Speaker105,m,ɛ,501.869282799047,1709.52303026007,2506.25400711638
Speaker105,m,ɛ,492.935692482727,1717.65239983474,2520.73110899543
Speaker105,m,ɛ̃,598.303935346366,1953.91265879376,2692.07320076232
Speaker105,m,ɛ̃,614.486952755383,1817.06279746216,2655.52154355355
Speaker105,m,ɛ̃,637.310249426815,1778.57924254921,2587.49185836693
Speaker105,m,ɛ,587.994746475431,1654.51038159358,2463.61293960127
Speaker105,m,ɛ,542.300592791033,1664.55345221374,2403.89688790578
Speaker105,m,ɛ,527.75016359299,1646.48790610616,2317.99952865263
Speaker105,m,ɛ̃,621.718962877518,1620.64941127632,2587.76512214412
Speaker105,m,ɛ̃,598.593542632193,1652.69281871109,2645.68789642618
Speaker105,m,ɛ̃,606.569965705944,1599.03363451491,2628.27082278455
Speaker105,m,ɛ,522.949247807072,1745.26677136901,2529.98538099107
Speaker105,m,ɛ,536.353187914537,1732.85395555444,2469.17543139397
Speaker105,m,ɛ,541.154748146827,1608.64169945465,2461.26917045631
Speaker105,m,ɛ̃,542.294501594971,1724.4506198911,2664.19336748985
Speaker105,m,ɛ̃,531.922596778263,1522.20695315265,2651.51852598319
Speaker105,m,ɛ̃,528.182422477671,1560.26966395595,2700.68588997937
Speaker105,m,ɛ,463.402037577033,1901.20338559818,2736.88318360243
Speaker105,m,ɛ̃,476.653369280651,1721.3681558423,2397.36508596772
Speaker105,m,ɛ̃,454.957972326597,1808.69975682887,2451.23325341792
Speaker105,m,ɛ̃,472.019644796511,1885.50403182348,2425.48327565936
Speaker105,m,ɛ,494.089608043383,1799.40492922838,2501.32773958738
Speaker105,m,ɛ,529.948085858575,1744.79693343264,2496.45419496817
Speaker105,m,ɛ,535.914179962173,1720.21016307664,2375.15829867464
Speaker105,m,ɛ̃,452.062344108869,1854.24951431658,2430.19184978017
Speaker105,m,ɛ̃,466.06666851329,1895.59232661351,2479.54802216851
Speaker105,m,ɛ̃,474.301526789171,1849.46625302661,2380.98210347194
Speaker105,m,ɨ,475.657205568314,1160.83167130092,2600.51696598451
Speaker105,m,ɨ,474.62343291634,1018.94138346193,2558.8719649762
Speaker105,m,ɨ,422.993179157668,922.816142926065,2680.13824986429
Speaker105,m,ə̃,575.549925316711,1397.38772815498,2838.53087755907
Speaker105,m,ə̃,569.833277541166,1424.67214889073,2478.50375975744
Speaker105,m,ə̃,515.629797413188,1431.37238204666,2496.89664030219
Speaker105,m,ə̃,500.453705944373,1527.79174114297,2552.38904836036
Speaker105,m,ə,516.57053350573,1017.34743072896,2591.21426242582
Speaker105,m,ə,545.776400188717,1144.71494115343,2536.47394413192
Speaker105,m,ə,551.900667913748,1101.30055575514,2537.16432441368
Speaker105,m,ɨ̃,539.848738431622,1106.17354646323,2574.33727090752
Speaker105,m,ɨ̃,526.962777218247,1098.78721963771,2627.93967415355
Speaker105,m,ɨ̃,546.983532194596,1152.75340012882,2559.51160740143
Speaker105,m,ə,608.067190730562,1286.6612993622,2389.9415662097
Speaker105,m,ə,591.581154840466,1311.9233907403,2414.48643393764
Speaker105,m,ə,622.01184016524,1433.92321881503,2470.71057614793
Speaker105,m,ə̃,515.010561362878,1491.21910825014,2369.00608230104
Speaker105,m,ə̃,538.544864388998,1317.91737129207,2496.97155601821
Speaker105,m,ə̃,513.542400888333,1375.67468225866,2387.40965718696
Speaker105,m,ə,490.663556860334,1177.90134288721,2396.5063031266
Speaker105,m,ə,514.218669918722,1293.54477346885,2407.44172400016
Speaker105,m,ə,498.62738790079,1292.25596841744,2429.28964418229
Speaker105,m,ɨ̃,539.335409019137,1162.41125918246,2490.30081735505
Speaker105,m,ɨ̃,574.372698524678,1142.9030583622,2612.404719125
Speaker105,m,ɨ̃,555.359753998001,1025.25819469784,2625.16410750179
Speaker105,m,ə,557.990300234984,1296.71805127111,2450.3885880257
Speaker105,m,ə,552.082860967495,1313.35985206411,2485.4476105087
Speaker105,m,ə,530.70431893286,1269.31611091073,2481.4896404691
Speaker105,m,ə̃,539.84446470926,1305.70696517946,2545.44402679061
Speaker105,m,ə̃,489.375084443328,1355.76885675666,2609.11616110726
Speaker105,m,ə̃,555.191262430456,1385.52405436641,2544.68190977281
Speaker105,m,a,634.316617832504,1380.3818932377,2299.66457108741
Speaker105,m,a,627.337490585671,1343.91442170459,2321.5764751458
Speaker105,m,a,663.295389894454,1273.12590342588,2445.57617741149
Speaker105,m,ã,698.886042948241,1331.04495185926,2328.2780171523
Speaker105,m,ã,696.516188246482,1367.42141802673,2314.97089090071
Speaker105,m,ã,695.21196864524,1281.1043706821,2314.84423757952
Speaker105,m,a,674.913957396894,1271.78497181414,2330.67264860891
Speaker105,m,a,687.148704482436,1308.38103729617,2360.69226645393
Speaker105,m,a,678.69363988747,1291.29233171361,2381.32450125221
Speaker105,m,ã,734.388876685067,1359.7012431437,2695.61940860215
Speaker105,m,ã,728.806484811567,1241.1550496943,2476.35426927103
Speaker105,m,ã,662.840959571527,1282.91081378188,2698.5721597832
Speaker105,m,a,566.638418844307,1581.31563427032,2328.81492482414
Speaker105,m,a,618.163314908685,1527.32509405767,2283.36850735906
